ID,Sex,Age,Age Bins,Age Group,Composite (z),Word Count,Direction Terms,Map Elements,Article,Adverb,Conjunction,Verb,Adjective,Nouns,Preposition
128,F,6.09,6-7 years,Child,-0.796649802,38,4,4,3,2,7,2,3,9,1
198,F,6.11,6-7 years,Child,-1.158593994,23,6,0,1,0,0,4,6,5,5
191,M,6.12,6-7 years,Child,-1.777406237,81,9,3,9,1,19,26,3,19,3
125,F,6.27,6-7 years,Child,-1.013499806,52,0,6,7,2,21,2,0,11,1
3,F,6.38,6-7 years,Child,-0.620979331,16,6,0,0,0,0,4,3,8,2
4,M,6.45,6-7 years,Child,-1.038816152,17,0,11,1,0,0,0,1,7,0
130,M,6.61,6-7 years,Child,-1.177308906,63,4,3,1,4,15,20,0,13,5
120,F,6.91,6-7 years,Child,-1.082898142,48,0,10,0,1,8,10,1,7,9
116,M,7,6-7 years,Child,-1.081058451,47,6,0,3,3,11,17,1,9,4
149,F,7.21,6-7 years,Child,-0.248379753,85,4,13,3,7,16,23,1,19,12
186,F,7.23,6-7 years,Child,-0.180273652,139,15,10,12,11,29,30,1,36,22
126,M,7.35,6-7 years,Child,-0.852337046,29,3,1,1,0,10,2,0,10,7
145,M,7.46,6-7 years,Child,-1.843339746,32,0,0,1,1,14,3,0,2,2
192,M,7.48,6-7 years,Child,0.014645739,22,15,0,0,0,0,15,3,16,0
117,F,7.5,6-7 years,Child,-0.241741043,31,2,8,0,1,1,4,0,7,10
124,M,7.54,6-7 years,Child,-0.68252058,6,0,0,1,0,0,0,0,3,0
123,M,7.63,6-7 years,Child,-1.093361677,41,5,1,8,3,2,17,2,9,1
122,M,7.69,6-7 years,Child,-1.365439083,76,3,9,10,2,18,15,0,13,4
175,F,7.79,6-7 years,Child,-1.193562704,87,1,1,8,6,21,13,2,11,18
121,M,7.8,6-7 years,Child,-0.151870125,92,2,6,12,3,20,15,3,24,9
185,F,8.05,8-9 years,Child,-1.05098266,66,7,3,7,1,8,20,3,24,13
109,M,8.21,8-9 years,Child,-0.205942616,103,3,16,6,0,30,15,4,24,16
118,F,8.29,8-9 years,Child,-0.902567056,52,2,20,1,0,1,2,2,22,14
119,M,8.29,8-9 years,Child,-0.07816098,80,3,13,6,1,12,13,1,22,17
176,F,8.33,8-9 years,Child,-0.403941071,44,11,0,6,0,5,12,0,12,9
115,M,8.37,8-9 years,Child,-1.473268296,22,3,1,1,0,1,4,0,13,9
