Experiment,OldSubject,NewSubject,Feedback,Distribution,Confidence.Order,Trial,Advantage.Prop,Gamble.Prop,Choice.RT,No.FB.Trial,Deck,Gamble.Outcome,Frame,Running.Total,Bias,Choice
3,1,304,Full,Standard,First,1,0,1,936,,Bad,75,Gain,275,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,2,0,0,786,,Good,-55,Gain,325,Bias-Inconsistent,Sure
3,1,304,Full,Standard,First,3,0,0,345,,Good,-30,Lose,275,Bias-Consistent,Sure
3,1,304,Full,Standard,First,4,1,1,1227,,Good,195,Gain,470,Bias-Inconsistent,Gamble
3,1,304,Full,Standard,First,5,0,1,946,,Bad,-170,Gain,300,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,6,0,1,1201,,Bad,-60,Lose,240,Bias-Inconsistent,Gamble
3,1,304,Full,Standard,First,7,1,1,1143,,Good,120,Gain,360,Bias-Inconsistent,Gamble
3,1,304,Full,Standard,First,8,0,0,1150,,Good,160,Lose,310,Bias-Consistent,Sure
3,1,304,Full,Standard,First,9,0,1,1443,,Bad,-110,Gain,200,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,10,1,1,1601,,Good,-50,Lose,150,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,11,0,1,1234,,Bad,-130,Gain,20,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,12,1,0,532,,Bad,100,Lose,-30,Bias-Inconsistent,Sure
3,1,304,Full,Standard,First,13,0,1,883,,Bad,-180,Lose,-210,Bias-Inconsistent,Gamble
3,1,304,Full,Standard,First,14,0,0,1136,,Good,40,Gain,-160,Bias-Inconsistent,Sure
3,1,304,Full,Standard,First,15,1,1,1089,,Good,115,Gain,-45,Bias-Inconsistent,Gamble
3,1,304,Full,Standard,First,16,0,0,1228,,Good,180,Lose,-95,Bias-Consistent,Sure
3,1,304,Full,Standard,First,17,0,1,600,,Bad,-125,Gain,-220,Bias-Consistent,Gamble
3,1,304,Full,Standard,First,18,1,0,389,,Bad,-70,Lose,-270,Bias-Inconsistent,Sure
