Experiment,NewSubject,Block,Frame,Feedback,Distribution,Confidence.Order,FilterTrialRandomization,Gamble,RT,TypeCount
3,304,1,Gain,Full,Standard,First,0,0.8,1054,10
3,304,1,Lose,Full,Standard,First,0,0.375,916.125,8
3,304,2,Gain,Full,Standard,First,0,0.428571429,691.125,8
3,304,2,Lose,Full,Standard,First,0,0.7,1075,10
3,304,3,Gain,Full,Standard,First,0,0.6,755,10
3,304,3,Lose,Full,Standard,First,0,0.5,771.25,8
3,304,4,Gain,Full,Standard,First,0,0.5,845.375,8
3,304,4,Lose,Full,Standard,First,0,0.6,1045.5,10
3,305,1,Gain,Full,Standard,Last,0,0.6,1005.4,10
3,305,1,Lose,Full,Standard,Last,0,1,729,8
3,305,2,Gain,Full,Standard,Last,0,0.625,819.625,8
3,305,2,Lose,Full,Standard,Last,0,0.666666667,693.1,10
3,305,3,Gain,Full,Standard,Last,0,0.7,592,10
3,305,3,Lose,Full,Standard,Last,0,0.5,655.125,8
3,305,4,Gain,Full,Standard,Last,0,0.5,492.625,8
3,305,4,Lose,Full,Standard,Last,0,0.7,715,10
3,306,1,Gain,Full,Tight,First,0,0.4,1051.5,10
3,306,1,Lose,Full,Tight,First,0,0.857142857,1021.5,8
3,306,2,Gain,Full,Tight,First,0,0.5,1014.875,8
3,306,2,Lose,Full,Tight,First,0,1,923,10
3,306,3,Gain,Full,Tight,First,0,0.333333333,830.6,10
3,306,3,Lose,Full,Tight,First,0,0.875,849.875,8
3,306,4,Gain,Full,Tight,First,0,0.375,689.5,8
3,306,4,Lose,Full,Tight,First,0,1,684,10
3,307,1,Gain,Full,Tight,Last,0,0.285714286,487.6,10
3,307,1,Lose,Full,Tight,Last,0,0.5,549.375,8
3,307,2,Gain,Full,Tight,Last,0,0.25,571.5,8
3,307,2,Lose,Full,Tight,Last,0,0.8,533.2,10
3,307,3,Gain,Full,Tight,Last,0,0.1,713.2,10
3,307,3,Lose,Full,Tight,Last,0,0.875,719,8
3,307,4,Gain,Full,Tight,Last,0,0.375,1126.75,8
3,307,4,Lose,Full,Tight,Last,0,0.9,969.5,10
3,309,1,Gain,Full,Standard,Last,0,0.5,1185.1,10
3,309,1,Lose,Full,Standard,Last,0,0.875,1057.375,8
3,309,2,Gain,Full,Standard,Last,0,0.625,1006,8
3,309,2,Lose,Full,Standard,Last,0,0.555555556,1033.8,10
3,309,3,Gain,Full,Standard,Last,0,0.444444444,909.4,10
3,309,3,Lose,Full,Standard,Last,0,0.625,998.375,8
3,309,4,Gain,Full,Standard,Last,0,0.5,903.125,8
3,309,4,Lose,Full,Standard,Last,0,0.7,851.3,10
3,310,1,Gain,Full,Tight,First,0,0.6,792.2,10
3,310,1,Lose,Full,Tight,First,0,0.75,762.25,8
3,310,2,Gain,Full,Tight,First,0,0.125,744.625,8
3,310,2,Lose,Full,Tight,First,0,0.7,795,10
3,310,3,Gain,Full,Tight,First,0,0.4,853.8,10
3,310,3,Lose,Full,Tight,First,0,0.857142857,942.5,8
3,310,4,Gain,Full,Tight,First,0,0.375,689.125,8
3,310,4,Lose,Full,Tight,First,0,0.6,725.3,10
3,311,1,Gain,Full,Tight,Last,0,0.111111111,636.7,10
3,311,1,Lose,Full,Tight,Last,0,0.375,722,8
3,311,2,Gain,Full,Tight,Last,0,0,751.5,8
3,311,2,Lose,Full,Tight,Last,0,0.7,1079.5,10
3,311,3,Gain,Full,Tight,Last,0,0.1,899.9,10
3,311,3,Lose,Full,Tight,Last,0,0.857142857,1013.625,8
3,311,4,Gain,Full,Tight,Last,0,0.125,751.75,8
3,311,4,Lose,Full,Tight,Last,0,0.7,1079,10
3,312,1,Gain,Full,Standard,First,0,0.5,774.3,10
3,312,1,Lose,Full,Standard,First,0,0.875,917.75,8
3,312,2,Gain,Full,Standard,First,0,0.125,728.75,8
3,312,2,Lose,Full,Standard,First,0,0.4,1023.7,10
3,312,3,Gain,Full,Standard,First,0,0.1,703.7,10
3,312,3,Lose,Full,Standard,First,0,0.375,907.75,8
3,312,4,Gain,Full,Standard,First,0,0,678.5,8
3,312,4,Lose,Full,Standard,First,0,0.4,876.2,10
3,313,1,Gain,Full,Tight,Last,0,0.3,843.9,10
3,313,1,Lose,Full,Tight,Last,0,0.625,1099.375,8
3,313,2,Gain,Full,Tight,Last,0,0.125,654.375,8
3,313,2,Lose,Full,Tight,Last,0,0.8,1082.7,10
3,313,3,Gain,Full,Tight,Last,0,0.2,1017.8,10
3,313,3,Lose,Full,Tight,Last,0,0.75,1316,8
3,313,4,Gain,Full,Tight,Last,0,0.25,712,8
3,313,4,Lose,Full,Tight,Last,0,0.8,904.2,10
3,314,1,Gain,Full,Standard,First,0,0.5,873.9,10
3,314,1,Lose,Full,Standard,First,0,0.875,837.25,8
3,314,2,Gain,Full,Standard,First,0,0.5,1220.875,8
3,314,2,Lose,Full,Standard,First,0,0.9,1308.6,10
3,314,3,Gain,Full,Standard,First,0,0.5,1104.1,10
3,314,3,Lose,Full,Standard,First,0,0.375,850.75,8
3,314,4,Gain,Full,Standard,First,0,0.5,1093.625,8
3,314,4,Lose,Full,Standard,First,0,0.6,943.1,10
3,315,1,Gain,Full,Standard,Last,0,0.4,636.2,10
3,315,1,Lose,Full,Standard,Last,0,0.625,591.5,8
3,315,2,Gain,Full,Standard,Last,0,0.25,766.375,8
3,315,2,Lose,Full,Standard,Last,0,0.7,1026.3,10
3,315,3,Gain,Full,Standard,Last,0,0.3,826.1,10
3,315,3,Lose,Full,Standard,Last,0,0.625,990.875,8
3,315,4,Gain,Full,Standard,Last,0,0.375,840.75,8
3,315,4,Lose,Full,Standard,Last,0,0.7,918.1,10
3,317,1,Gain,Full,Tight,Last,0,0,556,10
3,317,1,Lose,Full,Tight,Last,0,0.875,637,8
3,317,2,Gain,Full,Tight,Last,0,0,557.125,8
3,317,2,Lose,Full,Tight,Last,0,0.8,826,10
3,317,3,Gain,Full,Tight,Last,0,0,926.9,10
3,317,3,Lose,Full,Tight,Last,0,0.875,1114.125,8
3,317,4,Gain,Full,Tight,Last,0,0.375,1137.125,8
3,317,4,Lose,Full,Tight,Last,0,0.555555556,984.2,10
3,318,1,Gain,Full,Standard,First,0,0.5,820.4,10
3,318,1,Lose,Full,Standard,First,0,0.375,760.875,8
3,318,2,Gain,Full,Standard,First,0,0,747.625,8
3,318,2,Lose,Full,Standard,First,0,0.7,987.4,10
3,318,3,Gain,Full,Standard,First,0,0.4,900,10
3,318,3,Lose,Full,Standard,First,0,0.857142857,827.875,8
3,318,4,Gain,Full,Standard,First,0,0.375,598.25,8
3,318,4,Lose,Full,Standard,First,0,0.4,687.8,10
